person_name,article_url,letter
"CHOLET André, Jean, Amédée, alias LENFANT",spip.php?article153313&id_mot=10754,lettre femme fils prison fresnes mai orthographe origine respectée petite chérie amour vu matin dernière fois su vers midi sort décidé heures fusillés saura probablement bien après quand tout fini pardon petite briser ainsi vie voulu pouvoir continuer rendre heureuse hélas cela devrai être vais demander vivre si peux petit car bien jeune encore si comme souhaite arrive survivre cette douleur grande aimée sauras mort france seul regret petit jean lou sais dur très dure souvenir fait fils naturellement vu aumonier donné dernier petit mouchoir dire autre saches jusqu dernier instant penserai tous doux tendre instant passés toujoursj pensé continuerai jusqu dernier instant rendu crois heureuse si cours an dit fait chagrin demande pardon laisse soin annoncer édith cette nouvelle car lettre pourrait arriver vu façon sic conforter édith préférable dise comme jugeras bon remercie ceux occupé temoigner temoigneront encore sympathie aime petite chére tout peux dire a seule aimée toute vie derniers plus doux baisers dad signe dernière fois aime andré cholet
"CITERNE Georges, Marie [dit Morand]",spip.php?article149944&id_mot=10754,dernière lettre extrait lettre femme telle publiée pourtant fais cette chose affreuse quitter a amour monde a toute vie peut faire heureux malheureux autres bonheur plus grand nôtre contenant parti après cru chose meurs capable être homme idéal sen devoir dur sais tiendrai coup pourras être fière
"CLOAREC Georges, Fernand [dit Marc]",spip.php?article20191&id_mot=10754,dernière lettre février chers oncle tante écris deux mot faire savoir vais être fusillé tantôt fresnes trois heures faut faire car voyez cela a rien fait apprendre fusillé fait devoir soldat cher oncle fais savoir écrit papa dis parent vais être fusillé dire gentiment trop dur apprendre si vite surtout fais bien attention quand diras oncle tante marie choquer trop souhaite bien bonjour part camarades quitte vie neveu cousin aime george rien plus beau mourir france adieu
"CLOTRIER Eugène [CLOTRIER Florentin, Eugène]",spip.php?article20200&id_mot=10754,dernière lettre lettre incomplète avril a petite femme a chères enfants a tous ceux aime après quatre mois souffrances venons être jugés peines plus séveres infligées vingt peines mort trente dur regrette rien conscience tranquille souffre non vais laisser triste sort faudra être courageuse finir élever quatre fillettes pourtant besoin encore présence sacrifice vain jours prochains meilleurs tous après dures épreuves traversons trouveras auprès avocat f renseignements dont besoin a assisté jugement toutefois peine encore définitive avant quinzaine jours général grand paris doit signer grâces bien paulo a tous donnés arrestation celui là pitié laisse copains soin dé régler addition prochaine occasion peut être aussi visite certain méfie chien là très intéressant f p matricule militaire régional ca arriverait quelque chose droit pension ainsi enfants oubliez jamais pendant quatre jours battu jamais parlé aucun camarade tombé reprochent avoir constitué groupes avoir menés combat voici noms brute frappés gautherie feydeau david gaston joseph denis leboucher taverne klein vrais assassin fouillez chaussures poche droite pardessus plis adresses arrivait quelque chose préviens car copains là tous passés feront tous quelque chose bonjour mme b robert rené zaza marseillaise tous amis excusez auprès cette bonne cécile créé beaucoup soucis remercie avoir bien compris fait savoir embrasse bien fort ainsi cette brave maria embrasse tout ur toujours eugène fresnes avril heures femme chérie amour enfants vient signaler recours grâce rejeté doi nombreux camarades passer vie trépas cet après midi quinze heures chose laquelle attendais malgré cette nouvelle brutale reste fort regrette rien passé reste passé honnête ouvrier conscient avoir toujours bien fait tâche militant bon père famille honte pourras marcher ainsi quatre fillettes tête haute comporte toujours comme femme digne condamné mort allemands demande seulement jamais oublier élève enfants bonne voie éduque ligné tracée era dur finir élever régime va venir aidera ainsi bons amis restent autour rappelle matricule militaire régional demandé porter deuil ni enfants dernières volontés si veux seulement enfants refais vie pauvres petite rêvé autre chose elles jusqu mariage destin a décidé autrement pleurez gardez sang froid grande utilité jours avenir liquide tout servira récupérer argent henri fera nécessaire sen peut être peu dur dernière lettre manque place responsable paul seul responsable tout arrive souviens embrasse tous ceux aimé aime tous amis famille particulier petite soeur fille mari cécile maria tous amis butte jamais oublié mauvais passage petite femme vais quitter serre bien fort ur ainsi quatre fillettes non sans revoir beau film vie labeur baisers e clotrier vive france parti lutteurs fresnes avril a quatre fillettes yvette gilberte michèle liliane après avoir beaucoup peiné régime plus durs essayer améliorer existence celle parent avoir lutté contre guerre ceux tirent tous avantages après avoir souffert moralement physiquement toute cette guerre arrêté bonne police française remettait main autorités allemande avoir osé lutter contre invasion sol leurs armées après jugement plus sommaires elles condamnèrent vingt bons camarades peine capitale aujourd hui dernière heure vient sonner brutale sans recours demande quatre chéries être petits soins mère va être seule finir élever toujours bonnes aidez maximum car faudra apporter aide mutuelle plus tard quand plus grandes réfléchissez bien quelques ligne car elles dernières père écrites brave honnêtes femmes bonnes mères famille lorsque mariées souvenez toujours papa a car voulais faire vie plus heureuses destin a décidé autrement souvenez continuez bonne voie tracée régime sortira cette terrible guerre favorable avenir plus beau par plus tranquille car sacrifice vain souvenez passé a toujours reste jusqu dernière minute honnête relevez bien haut tête toujours intransigeantes traîtres embrassez bien fort toute famille ceux toujours aimés serre ur avant dire adieu embrasse mille fois adieu chères enfants adieu père e clotrier
"COLAS Joseph, Léon, Pierre",spip.php?article20302&id_mot=10754,joseph marie cola nantes août chère marie envoie petit mot dire aujourd hui jour fête pense beaucoup surtout bien content avoir pu apercevoir mercredi dernier jour procès si tel peut appeler jugement passion a roger astie a acquitté part tous condamnés peine mort tous tous bien courageux faut aussi restes bien courageuse car gardiens allemands bien gentils affirment acquittés vont déporter ainsi vois faut faire enfin moral toujours bon assure fais trop car sais cette guerre a fait tant mal surtout chère petite marie comme reste courageuse sais car sais oublies aimes comme aime enfin veux vie pense avenir plus belle car sais mauvais moment passer espère long maintenant car sais toujours bon moral courageux ainsi tous camarades termine cette petite lettre embrassant bien fort tout ur surtout reste bien courageuse joseph cola nantes août chère petite marie profite petite occasion pouvoir écrire petit mot temp donner nouvelles toujours bonnes souhaite surtout fais bile car sais tant a vie a espoir comme dit sais cela a dû faire bien mal apprendre verdict comme déjà écrit a grandes chance restera comme cela car faut dise plaisent faire souffrir moralement quoique faisons tout car a tous bon espoir sortir car paraîtrait dossier partis allemagne cela demande encore environs trois mois espère bien ici là tout fini enfin espère toujours bien courageuse comme comme déjà écrit jugement puisque tribunal militaire conséquent allemands pu défendre tout cela mise scène fers dire attachés chaine pied deux arrestation nommé jacques vrai nom jean rogier passé depuis police a livrés police française espère paiera cela jour attendant continue triste métier si vu fusillé chose crois donne tout si laisses revenir fougères veux prêtres cela car encore fois crois colis maintenant trois faut cela prive car reçoit beaucoup si a trois obligé jeter bien dommage comme écrit bien content voir quelque instant premier jour jugement sais aussi pouvais être bien heureuse enfin bien courageuse sache aime beaucoup chère petite marie embrasse bien fort bientôt espère joseph cola
"COMPAGNON Jean, Auguste",spip.php?article20490&id_mot=10754,dernière lettre dimanche h chers parent viens première fois écrire malheureusement dernière tribunal maintient sentence fusillé matin meurs coeur plein adorables image âme tranquille reverrai tous là haut quand dieu rappellera courage tel dernier mot dis pardonnez faire souffrir croyais venir ici adieu tous ceux aime adore fais souffrir adieu tous adieu pay natal adieu belle france meurs espoir idées resteront personnifiées courage nécessaire suivre jusqu bout attente cette lettre apporte tristesse quitte jean
"CONAN Henri, Armand, Marie",spip.php?article20506&id_mot=10754,très chers tous armand maman madeleine tous ceux aimais tous parent amis vais mourir certes sachez brave certes léger tremblement agite main écrivant léger tremblement dominé tout heure armand madeleine revient droit tutelle jacqueline confie éducation morale jacqueline pense surtout cher armand feras oublier a plus papa chère maman fais peine plus surtout jamais compris sache meurs cause chère entre toutes seul responsable accuse tierce personnes fait peine demande pardon vais terminer disant tout possède grand chose malheureusement doit aller femme adorée petite jacqueline chérie embrasse tous tout ur oublie monsieur madame raude george souhaite brillant succès examen embrassez bien aussi tous amis auray ailleurs ainsi famille quitte définitivement assurant toujours aimé cher henri
D’ALESSANDRI Albéric,spip.php?article157502&id_mot=10754,dernière lettre lyon er novembre chers oncle tante cousin bien mauvaise nouvelle viens annoncer dernière lettre ferez suivre autre chers parent juge tribunal militaire lyon octobre condamné mort ledit tribunal tiens dire tout suite tombe sou balles ennemies innocent voudrais être dernier malheureusement crois moment courage sans pareil voudrais tous êtres humains meurs content car pense après cette guerre tous hommes heureux justice plus juste car celle ci tous derniers sentiment vont vers moment côté camarade ca assisté prêtre catholique meurs tous sacrements église fier tomber sou balles ennemies voudrais tout monde dise comme meurs liberté chérie dont tous fiers retrouverez jour vive france libre indépendante direz tête haute beaucoup tombés cela maintenant cher oncle adresse chef famille quelle gloire deux enfants tous bien gentils continue élever droit chemin bien travail lisant mot pleure prie vie faut avoir courage comme indique cette lettre chère tante mère deux enfants diras peine élever enfants jusqu cet âge donner bourreaux veux tiens tomberont comme tombé aussi fais voir droit chemin pense aussi vengeront aussi riri commences comprendre vie écoute toujours bien marche droite ligne quand parlera baisseras tête peux être fier grand albéric chère petite annie embrasse dernière fois écoute bien diront papa maman écrit cette dernière lettre avant pouvoir remettre chers parent aiderez supporter peine merci adieu tous toujours vive liberté albéric
"D’ESTIENNE D’ORVES Henri, Louis, Honoré",spip.php?article169632&id_mot=10754,caqui chérie chère petite ur aime profondément remercie fond ur tout fait a infiniment doux sentir communion faut avoir trop grand chagrin pensez ceux meurent champ bataille privilège inouï pouvoir presque vivre vie famille depuis trois mois joui beaucoup songe surtout chérie pu être tué moment arrestation quel état moral mort dieu a donné sept mois rapprocher béni vais retrouver papa maman grand bonheur demande continuer vie bien tranquillement étayer un autres éliane ndlr épouse besoin aide sais donneras a incombera mission annoncer mort sachez parfaitement calme deux camarades passons soirée parler tranquillement blaguer mal obtenir silence pouvoir écrire excuse donc cette lettre décousue tout ceci montre sérénité espère départirons demain matin fais nouveau testament celui déjà éliane a paraît suffisant enfants comme mien vivront espère période paix prennent papa comme modèle papa a tant aimé siens a tant travaillé tous réunissez tout trouverez main ainsi maman a écrit génération celle enfants profitent petits frères hélas aime tant donc unis trois sans oublier souvenir françois cher compagnon enfance union belle chose rien ternisse enfants prennent modèle voudrais écrire ici noms tous membres famille estienne vilmorin dire pensée va vers tous charge cette commission particulier chère tante félicie dieu garde longtemps a artisan mariage rendit si heureux oberlieutnant moerner vu tout heure voit inconvénients donne noms personnes arrêtées mme maurice barlier nayemont ban sapt vosges femme camarade doit être exécuté temp doornik plus tard si circonstances permettent peut être heureuse connaître mme clet normand fille mme jeannic plogoff finistère possible donner petit secours argent franc mois exemple mme gigan rue gutenberg nantes chantenay actuellement libérée arrêtée cause fils actuellement fresnes aimerais quelqu vît vieille femme soixante quinze an peur sans ressources mme clément chemin bois haligand nantes chantenay deux là encore prison tous gen aiment bien pourrai dire adieu certaine responsabilité malheurs fondu tous acceptés grandeur âme admirable demande prier sais ferez pensez prière morts rapproche vivants dieu là bonne continue faire dire messe semaine verrières morts famille maintenant vais dormir peu demain matin messe personne songe venger désire paix grandeur retrouvée france dites bien tous meurs liberté entière espère sacrifice servira embrasse tous infinie tendresse honoré dernière lettre ami capitaine frégate paul fontaine dit pépin travaille cabinet amiral darlan honoré estienne orves paul fontaine prison fresnes seine août jeudi août cher paul dès fin mai décidé si devais être fusillé écrirais faire adieu amis marine voici depuis trois mois occupé activement remercie fond coeur prie transmettre respectueux sentiment amiral darlan sen uni coeur cela grand réconfort tant aimé marine tant intérêt vie bord joy a procurées amitié camarades affection hommes quittée quitté duquesne juillet sans profond déchirement bateau comme toute escadre démilitarise gouvernement paraissait plus indépendant continuer lutte suivre voie tracée cherché moyen faire sou drapeau français parti somalie quand vu opérations suspendues rejoint force françaises libres veux dire là comme tous camarades trouvé fait servir france cela façon très indépendante hôtes comprenaient parfaitement influençaient aucune façon venir france vaincre forte opposition poussé personne crois vieux pépin avoir tout fait servi france france seule pense amis comprendront voudra bien considérer comme mortpour plus cher désir voudrais dire beaucoup plus destinée souhaite france persuadé voyons autre rénovation voie bon faire demander fatou autorités allemande noms marins breton condamnés affaire tous excellents patriotes méritent occupe vieux ménage particulier an a maintenant fini peine tâchez faire renvoyer chez arrive continuer écrire car a mi cellule deux camarades doivent être fusillés demain passons temp raconter blagues aussi dis adieu pépin frère charge affection pouchette marcel femme profonde amitié tous amis plus tard verras éliane soeur embrasse vive france honoré conserve photographie épouse cinq enfants prise quimper juin verso écrit ligne enfants chéris rends cette photographie a rendu heureux pendant tout mois août a unis plus grande joie face mme clément chemin bois haligand nantes chantenay deux là encore prison tous gen aiment bien pourrai dire adieu certaine responsabilité malheurs fondu tous acceptés grandeur âme admirable
"DALMAS André, Joseph, Henri. Écrit parfois DELMAS André",spip.php?article21324&id_mot=10754,paris juillet a parti a tous camarades vais donc quelques minute être exécuté guillotiné tous sachent toutes pensées allées comme va encore dernière pensée cher parti grande internationale communiste magnifique lutte peuples libération cher staline lutte laquelle donnons aujourd hui vie froidement regard droit tête haute fiers mourir patrie martyre demain renaîtra a femme quand chose possible dites simplement ceci aimait quand vint heure dernière endormit emportant yeux lourds image douce vision fulgurante pluie étoiles rouge a delmas
DAUDET Henri,spip.php?article153350&id_mot=10754,laissa dernière lettre chère mère cher frère chère ur cher oncle chère tante embrasse tout ur penser pendant incarcération recevez fils frère neveu dernier adieu henri tante louise tonton benoit prenez soin arlette mauricette conseiller rémi embrassez julienne adieu adieu première partie encre bleue après signature encre noire
"DAURIOL André, Jules",spip.php?article158888&id_mot=10754,laon avril chers parent cher jeannot chère madame richet amis camarades seuil mort écris cette dernière lettre tout abord demanderai pardon tout chagrin vais causer destinée ainsi puisque dieu rappelle près faut aller parti cieux derniers sacrements église donnés aumonier demanderai chose prier repos ame pendant moment égarée chère maman demanderai pardon toutes souffrances endurées depuis vingt an vois voilà récompense aussi cher papa car retour va apprendre affreuse nouvelle sort veut ainsi peut rien contre cher petit jeannot toujours bien sage parent surtout pense plus tard oublie jamais maintenant plus là affection doit être double remplaceras auprès aussi madame richet toujours si bonne demande pardon moment terribles passés maintenant fini calvaire vais gagner vie éternelle dire vie heureux plus malheureux allez souffrir dieu veut faut savoir accepter durs moment vie comme bons moment quitter souhaite longue vie surtout bonheur plus tard après coup affreux crois dieu pitié adieu papa maman jeannot grand parent famille adieu aussi monsieur madame hagard ainsi denise garde amour souhaite heureuse vie adieu aussi tous copains copines surtout charlot michel jeannot franceline yvonne henriette tous tous derniers baisers fort mourir car dieu dernière fois pardon mal mal cause andré dauriol
"DAVID Émile, Léopold",spip.php?article21581&id_mot=10754,chère petite maman adorée petit frère rené ainsi cher papa a heure où recevras quelques mot loin toujours effet h allemands viennent chercher être transportés vers destination inconnue vais dire tout suite doi être fusillé ainsi autres camarades mourrons espoir ceux resteront liberté bien être dernières pensées celles ci fait paire sabot trèfle quatre feuilles chère maman hydravion cher petit frère rien suzanne demanderai partie photo remise bien triste souvenir cette lettre mourir présent plus tard cela a importance fais maman garde force courage car songe a frère cher petit rené élever toutes affaire transmises tout matériel adieu chère petite maman adieu aussi cher rené écris papa car cela chagrinera assez vite adieu dernière fois songez tous camarades pensent adieu bon papa toujours aimés malgré fait beaucoup peine adieu adieu tous
"DE LAUNOY Jean, Gabriel",spip.php?article169569&id_mot=10754,dernières lettres jehan launoy femme enfants paris octobre miquette chérie procureur kessler vient annoncer fatale nouvelle pauvre chérie doi mourir souhaite faire courage chrétien français demande être toujours très courageuse toujours confiance dieu reste bonne française élève deux petits noble sentiment demande pardon immense chagrin vais faire jeune jolie belle bonne regarde vie face ciel où espère aller veillerai tous embrasse tendresse comme embrasse deux petits adore bonne maman suzanne mémé tante paulette taty chère petite josette oncles toute famille connais cher papa quand reverras pauvres camarades aussi courageux si dernière pensée va chers nôtres dernier cri vive france aime miquette chérie plus bel plus grand amour vie unique surtout tâchez cacher mort pauvre papa aimais tant fais testament adresse paul bien entendu laisse peu possède espère patrie tant aimée aidera élever matériellement enfants presse bien ur surtout chérie soigne bien faut guérir vite complètement demande comme prière suprême aimer vie pense âme immortelle toujours côtés répète jeune prière doi chercher consolation aime toutes force miquette chérie pense grâce amour rapproché dieu remercie cela tout ur cause cela doi désespérer vie pense dernière volonté supplier vivre courage élever enfants comme fait cesse prier espérer dieu cette dernière preuve amour demande pied fatal peloton exécution sûr comprendras cette suprême pensée donne tous courage douce chérie dis adieu mot mi tout amour toute tendresse embrasse comme aime ainsi tous petits mari tendrement jehan launoy réclame chapelet christ tant prié livre prières ainsi alliance dernière pensée petits jehan laisse alliance vais demander porter toujours souvenir chevalière or armoiries portée celui fils désigneras plus méritant josette pourra porter attendant puisse porter pierre roland courageux embrassent pauvre chère miquette jamais aimé aimée follement encore doux baisers vive dieu vive france jehan plume mauvaise veux deux enfants élevés famille réclame chapelet christ tant prié livre prières ainsi alliance dernière pensée petits jehan demande nom amour guérir élever enfants tâcher rentrer couvent avant moins années passée cette date feras voudras compte toit si parfois fait peine miquette chérie demande pardon aime courage garde cette lettre remettras plus tard petits cher petit claude cher petit jehan quand âge comprendre lira lirez cette lettre non seulement adieu cher papa va mourir aussi testament abord restez bons chrétiens priez toujours dieu confiance amour aimez france patrie comme aimée jusqu sacrifice aimez aussi chers parent si bons si dévoués consolez petite maman thérèse ur courage amour massin launoy complètement car puiserez exemple tradition belle familles tout a noble digne mot restez répète encore bons français bons chrétiens vive france embrasse comme aime père affectueux jehan launoy
"DE NEYMAN Jean, Casimir",spip.php?article22247&id_mot=10754,dernière lettre jean neyman collection patrice morel fonds dominique neyman transcription faite catherine patrice morel partir document original septembre quelques différences lettre publiée six ligne plus vers fin près baule septembre chéris voici donc septembre début sixième année cauchemar semble heureusement plus devoir être bien long dissiper déjà vont disparaître angoisses cette sorte siège famine dont paris souffre depuis si longtemps sais rien devant immense soulagement moral penser fin infernale époque vivons encore perspective avenir encore incertaines moins lumineuses heureux doublement compte personnel joie tant êtres heureux pourtant cette atmosphère radieuse faut apporte nuage arrivé derniers temp rencontre fâcheuse va retarder peut être longtemps plaisir voir voici histoire gros détails ensuite vers août jeune marin allemand déserté cherchait asile parages ferme où élu domicile principal depuis mois peu près rencontrai abord après longue conversation considérais bon type inhumain laisser reprendre fusiller autorités militaires allemande aussi vêtis civil demandais fermier joseph jergaud bien vouloir nourrir frais pendant temp supposions court où américains encore venus gar sentant danger malgré tout donnais vieux revolver trouvé cave maison voulant enterrer poste radio tout passa bien quelques jours plaisir faire bonnes party échecs fritz plutôt gerhardt comme prénommait malheur américains venant gerhardt ennuyait montrait imprudent circulant autour ferme si bien pris patrouille revolver poche arrêté ainsi peu après tous adultes ferme mme jergaud aide jean mercy ailleurs connu baule alors mécanicien prenait leçons science passer concours naval donc gerhardt abord voiture cheval puis autres camion conduit camp entre saint nazaire montoir être interrogés mme jergaud relâchée bout jours août gerhardt jergaud passion devant conseil guerre siégeant camp marine endras entre saint nazaire baule comme jamais voulu éviter responsabilités encore moins rejeter pauvre fermier évidemment condamné maximum tandis jergaud tirait an prison condamné comme gerhardt restait encore chance jugement devait être confirmé commandant saint nazaire sorte lieu être fusillé tout suite conduit coté tribunal pavillon attendu jusqu matin nouvelles sorte pourvoi formulé voilà donc résumé évènements assez bêtes certains point vue vont crains trop faire tant peine comme disait heine da ist da los da menschenlos wa schön und gross da nimmt ein schlechtes ende maintenant chéris croyez bien affligé ah ça exemple faut davantage faire perdre bonne humeur dernières semaines bien agréables abord a joie avoir fait devoir chose considérais comme devoir envers contre tous comme expliqué juges si hasard met côté quelqu noie demande jetant eau depuis combien temp déjeuné ensuite a immense plaisir avoir pu jusqu bout faire bien autour passons gerhardt connaissance allemand a maintes fois permis être utile er camp également pu principal obtenir peu près justice concerne ceux rien voir affaire mercy jergaud sans parler bien pu faire montrant fois plus allemands français sen honneur mille détails font penser vers kipling traduits compléter maurois fin célèbre poème si si peux lorsque vient instant désespéré tout contient tirer pourtant somme alors fils terre entière bien plus homme puis faut avoue aussi heureux fier succès estime remporté pendant jugement quand président a demandé pourquoi recueilli gerhard si savais interdit répondu français question honneur aider celui demande aide honneur autant plus grand risque avantage quand après réquisitoire demandait mort jergaud après plaidoirie confondait aussi a demandé si quelque chose ajouter dit précise bien désirant dès début conserver entière responsabilité acte jamais dit ferme où ignore allemand juste gerhart sorte seul responsable moment a murmures salle moquerie là où doi dire éprouvé plus puissantes impression bonheur vie tout suite après jugement quand entendu discuter hommes garde devant couloir cellule si pu entendre chéris ur éclaté fierté joyeuse plus cela a foule petits cotés agréables foule étonnamment nombreuse réjouissances secondaires donnent occasion donner vue quelques détails seul ennui jour où a arrêté a pris si utiles lunette depuis personne a jamais pu savoir elles devenues personnellement jamais pu comprendre pourquoi quelqu comprendra peut être longue quoique maintenant verrons plus cela vraiment plus beaucoup importance premier incident route mérite être signalé constitue vraiment petit fait comique comme voyagions carriole où attachés fort discrètement tirés excellent cheval vers destination hélas triste passant rentrait travail pied demanda naïvement a place ri avant partir moment perdis toute mauvaise humeur dépit arrestation depuis toujours occasion agréables divertissantes ainsi pu couper planche obligeamment prêtée part échiquier percé trous où infiltraient tiges pièces découpées autres part cette façon pu jouer paix sans voisins puissent brouiller jeu quelle turbulence juvénile fallait voir jeu fait fil fer bois signé jean reconnaissable mètres fallait aussi voir allemands empresser jouer pouvais causer autres prisonniers comme désiraient tous consoler prouver amabilité déploraient situation bien voulu faire quelque chose quoi voir fusiller attendait dès début aussi sans laisser presque amis quitté camp peu près tous ceux parlé peu faut naturellement laisser aussi aussi quelque regret plus beau équipement dire jeu échec quand ministre changerai texte règlement rigoureux dont victime or depuis jugement double ration moins tout comestible favorable dont favorisé enthousiasmé ceux imaginent jean bon peut vivre sans autre orthographe si ose déplorable calembour début crus cuisinier fantaisiste voulu terminer peut être époque service festin capable faire sensation attendais retourner ordinaire modeste homme bon sen comme ahurissante abondance continuait régner plus plus belle extérieur intérieur toutes sortes friandises cessaient affluer seule explication valable laquelle dû rendre bienveillance collective touchante chacun demandant si cela finira bien mal concluait mieux devait être participer tous moyens rendre succulentes heures dont encore maître attendant sût si pourvoi soutenu avocat v ux tous arriverait être rejeté non part officiers aussi amabilité bien trop franche personnelle être propagande venait satisfaire tous désirs ainsi absence lunette a réussi faire voir clair mobilisant lunette essais oculiste militaire chambre plus lumineuse a jusqu autoriser sortir plus éclairé tous couloirs ici tout matériel car plus beau a pourvu matériel comme souvent table sou main papier volonté crayon chimique gomme règle couteau tout jean comme disait petite ur autrefois dessus marché autorisation travailler tout voulais laisser après paraît pouvoir être utile générations future parler modestement ainsi plus cette lettre récupérerez presque volume remarques réflexions plus moins scientifiques pédagogiques espère elles intéresseront papa peut être professeur curieux point vue non classiques vais donc disparaître meilleures condition possible après avoir passé dernières semaines condamné plus confortablement bien autres semaines sans avoir subi aucun mauvais traitement après avoir chance voir sinistre tableau monde remplacé claires perspective nouvelle chance condamnation donne droit penser complètement étranger après avoir dégusté amusante flatteuse ironie sort fait derniers fusillés français cette guerre agréable sensation avoir laissé écrit meilleur plus pu laisser comme influence durable vie ceux connus comme condition où produit disparition peut avoir autant effet bien pu faire peu vie supplémentaire seul regret chagrin peut hélas manquer causer ainsi si voulez faire rétrospectivement plaisir trop malheureux assez aimés pendant dernières années vouliez laisser seuls ensuite égoïstes vivez continuer faire progresser monde comme mêmes appris faire conscience encore plus aujourd hui combien tout fait fond oeuvre prie faire quelqu bien chacun petits enfants actuels futurs car compte enfants nénette aussi dépourvus toute illusion religieuse pleine conscience sachent faire devoir homme a propos enfants si pouvez intéressez second fils jergaud bébé an a bon ferez plaisir faisant dette reconnaissance pourriez avoir chez diver objets appartenant voici adresse ker michel saint molf guérande loire inférieure finir plaisanterie papa trouvera solution problème ampèremètres dont marque ampères pendant premier marque embrassant chéris écris conclusion vie entre morale célèbres besoin espérer entreprendre ni réussir persévérer toute sagesse humaine tient mot attendre espérer a place synthèse tout bonheur homme tient devoir agir espérer jean p naturellement saluez tous ceux chers
"DECOUR Jacques [DECOURDEMANCHE Daniel, dit]",spip.php?article21760&id_mot=10754,samedi mai h chers parent attendiez depuis longtemps lettre pensiez recevoir celle ci aussi espérais bien faire chagrin dites bien resté jusqu bout digne pay aimons voyez très bien pu mourir guerre bien bombardement cette nuit aussi regrette avoir donné sen cette fin savez bien commis aucun crime rougir su faire devoir français pense mort catastrophe songez moment milliers soldats tous pay meurent chaque jour entraînés grand vent emporte aussi savez attendais depuis deux mois arrive matin aussi temp préparer comme religion sombré méditation mort considère peu comme feuille tombe arbre faire terreau qualité terreau dépendra celle feuilles veux parler jeunesse française mets tout espoir parent chéris sans doute suresnes pouvez si désirez demander transfert a montmartre faut pardonner faire chagrin seul souci depuis trois mois a inquiétude moment laisser ainsi sans fils a causé plus peines joy voyez content tout vie a vécue a bien belle maintenant voici quelques commission pu mettre mot celle aime si voyez bientôt espère donnez affection v u plus cher voudrais bien aussi puissiez occuper parent bien peine excusez auprès abandonner ainsi console pensant tiendrez remplacer peu ange gardien donnez choses chez appartiennent fille volume pléiade fable fontaine tristan quatre saisons petits poussin deux aquarelles vernon issoire carte quatre pavés roy beaucoup imaginé derniers temp bons repas ferions quand libéré ferez sans famille tristement prie veux pensée arrête belle choses pu arriver toutes celles réellement vécues refait pendant deux mois isolement sans lecture tous voyage toutes expériences tous repas fait plan roman pensée a quitté souhaite fallait beaucoup patience courage surtout ranc ur dites toute affection ur infatigable denise tant dévouée jolie maman michel denis fait excellent repas sylvain souvent pensé plaisir aussi bien fameux repas réveillon chez pierre renée question alimentaires pris importance dites sylvain pierre toute affection aussi jean meilleur camarade remercie bien tous bons moment passés si allé chez soir fini tout arriver ici a donc regret vais écrire mot brigitte fin cette lettre recopierez dieu sait si pense a vu papa depuis deux an si occasion faites dire élèves première remplaçant bien pense dernière scène egmont lettre th ki père sou toute réserve modestie toutes amitiés collègues ami traduit goethe sans trahir huit heures va être temp partir mangé fumé bu café vois plus affaire régler parent chéris embrasse tout coeur près pensée quitte daniel
"DÉFONTAINE Louis, Jean, Baptiste, Frédéric",spip.php?article249560&id_mot=10754,embrasse tout coeur andré honte père mort français comme parrain écris lettre maman ur faut ainsi être fières car meurs courageux français
DELATTRE Alfred,spip.php?article152694&id_mot=10754,dernière lettre alfred delattre famille prison saint nicaise arras calais septembre chers parent femme enfants amis heure où écris pénible instant car vient annoncer recours grâce a rejeté doit être exécutés h aussi demandé autorisation écrire derniers mot chers parent embrassez bien chère aline surtout prenez bien soin faut donner courage oui sais faudra beaucoup chers petits enfants voilà sans père aussi heure mourir demande prendre bien soin faites petits malheureux fiers papa marche mort tête haute français vrai français a toujours courage jusqu bout tous parent amis oubliez jamais ceux vont tomber faites famille misère demande homme dont minute comptées quel malheur chère femme âge perdre mari dites faut courage chers petits vont perdre papa chers parent dur écrire cela faut monsieur aumônier français allemand côté comprenez moment faut penser enfants aussi faites mieux femme chère aline lorsqu libre fasse volonté amis toujours homme ici fiers demandé tout reste cellule rendu intact avoir dernier souvenir celui plus maintenant vais quitter toujours adieu parent amis enfants amis adieu vie recevez meilleur baiser celui va mourir h encore heure mille baisers tous
"DELAVAQUERIE Charles, Gabriel",spip.php?article21971&id_mot=10754,cher père écris dernière lettre va venir chercher fusiller amis pauvres fils ouvriers demandions vivre espérance courageux soeurs comme passer chaque région verrons plus beau jours revenir vient h finis derniers beau jours famille verrai plus beau montreuil tous courageux cher père fils a an demi voulu voir soviet arriver dit adieu adieu toute famille sans oublier grand mère fils pense va mourir devoir vive soviet vive ur
