person_name,article_url,letter
"ARTHUS Jean, Marie, Ernest, Maurice",spip.php?article147142&id_mot=10754,dernière lettre père février grand chéri sais si attendais revoir attendais a appris matin fini alors adieu sais coup très rude espère assez fort sauras continuer vivre gardant confiance avenir travaille fais cela continue livres voulais écrire pense meure français patrie embrasse bien adieu grand chéri jean arthus
"AUBOUET André, Maurice",spip.php?article10382&id_mot=10754,dernière lettre chère maman cher papa écris santé heure moins dix vient prévenir exécutés soir permission écrire quelques lettres visites interdites chagrin immense avoir revus dernière fois espérais pouvoir revoir ainsi ur petite nièces neveux beau frère chère petite fiancée anne marie prévenue comme espère hélas cette dernière satisfaction supplie avoir trop peine sais cruel fait sacrifice vie idéal patrie comme tous camarades courageux ainsi camarade tardif demeure première cour copain rue decré demande pardon papa toutes misères faites aimais bien quand croyait faisais exprès demande pardon car aimait bien malgré tout disait maintenant reverrai plus vais faire quelques recommandations papa prévienne fiancée embrasse bien fort dise penserai jusqu dernière minute vais écrire imprimerie espère recevra lettre vais faire paquet affaire remettre souvenir garde mouchoir maman a mi dernier colis emporterai car paire gants restée colis remercie colis ainsi tous ceux envoyé douceurs vais tout finir tout heure dernier repas donnerez livres breton direz adieu ainsi tous copains vais quitter dernière fois car temp presse vais écrire ur fiancée donc adieu petite mère chérie petit père chéri embrasse bien fort dédé vive france indépendante
"AUBOURG Jean, François dit Marcel",spip.php?article149114&id_mot=10754,dernière lettre orthographe rédaction origine respectées cher rené seuil grand voyage vert éternité fais adieu espère très heureux charmante petite compagne choisie vie petite hélène feras plus doux adieu famille dont emporte meilleurs souvenir ainsi pierrot pujol famille a pierrot hirigoyen paulette toute famille a famille pellegris où prenais pension feras adieu tous camarades patronage passé bon moment après guerre si possible demanderais faire nécessaire transporte bruges cette commune aimé où passé toute jeunesse considère comme pay cé là voudrais reposé feras aussi adieu roger bichet famille envoi lettre ur enverras dont voici adresse monsieur madame adrien fonbaudeau st andré cubzac gironde termine lettre envoyant tous plus doux baisers signé tapinois
"AUFFRET Jean, Henri",spip.php?article158426&id_mot=10754,quimper mai très chère maman autorisation écrire viens dire adieu autorisation voir avant mourir officier vient annoncer a fait possible téléphoner écris moment heures h vais être fusillé maman prends courage fière fils mort glorieusement souhaite dernier adieu tous copains parti chercher prêtre vais confesser fais peine pauvre maman seule sans fils tant gâté aimé souhaite bonne chance bon courage reverra là haut puisque heureux terre nés sou bonne étoile vois plus grand chose dire maman embrasse loin dernière fois bien affectueusement adieu très chère maman adieu toujours bon courage fils aime aimera jusqu dernière minute vie viens voir prêtre meurs chrétien offre vie chère maman frères ur tous ceux chers france église jean
"AUPÉE Marcel, Jean",spip.php?article149404&id_mot=10754,dernière lettre adressée femme mai su hier maman papa petite fille dernière fois recours grâce a rejeté très courageux tout comme illisible pu faire prévu dieu a voulu vais partir grand voyage retrouverons tous espère voir aumônier tout heure pourrez certainement disposer corp demande être enterré bonnières peut être peu loin si près pourtant jamais voulu croire évidemment dure réalité enfin faut rendre évidence permission écrire tant veux maintenant trouve mot exprimer
"AUVINET Alex [AUVINET Alexis, dit]. Pseudonymes : LEGALL, LE FUR, Arthur",spip.php?article10541&id_mot=10754,dernière lettre veille exécution écrivait mère chère maman viens ici causer grande peine annonçant vais être fusillé demain peux contraire être fier fils tombe sou balles allemande balles fascistes dire sou balles capitalistes ceci fait peine mourir console maman chérie disant bonne cause délivrer genre humain sang va couler probablement enterré région man si après guerre possible faire transporter montaigu sans occasionner trop frais cela ferait bien plaisir voilà nuit entre cellule vois plus pourtant h douze heures probablement plus monde regrette rien vie si tous aime embrasse bien fort petite ur robert michelle maman chérie meurs vive france vive parti communiste vive ur alex auguste brunet cite autre lettre oncle si quelquefois après guerre a uvres secours parent fils tombés pendant guerre voudras bien occuper maman tout cela paraîtra humanité rappelleras parti communiste franc tireur alex auvinet a lutté octobre mar date arrestation man vive parti communiste français vive ur vive france brunet donne comme date exécution mai man mai cher oncle tante cousine voici sentence prononcée inculpés condamnés mort fallait guère attendre moins crois allons être fusillés demain samedi fait paquet gabardine costume paire brodequins porte feuille vide déposé franc allemands feront probablement parvenir a aussi montre fais adresser tout ça prendras ira reste devrait aller main odette peu près taille emploieras canadienne aussi chez récupéreras tout chez lili feras voudras sais où va être enterrés probablement man environs enfin préviendra si suite peux être ramené montaigu cela fera bien plaisir enterrement sans prêtre évidemment pourras reconnaître chevalière acier inox petit doigt main gauche dent acier également faudra toutefois cela cause frais serviras ça argent va probablement recevoir également déposé franc chez rené baudry tient café route sorinières après ragon ira chercher lili sorin connu là ba diras oncle viens chercher franc expliqueras devenu voilà affaire maintenant vengeance espère arrivera jour voici noms faudra oublier nommé employé sncf né man james rogier bar duc fameux type soi disant évadé prison nantes février ancien camarade autre policier a donné police arrêté brigade mobile anger policiers savin baudry melgrani poupaert guichandu rivière autres dont souviens nom tous salauds tout ceci reporter parti après guerre règlement comptes mets lettre deux autres lettres maman autre mme martin montaigu feras parvenir inutile prévenir grand mère instant apprendra toujours assez vite préviendras tous copains coëx fernand fruise lili tous ceux pourrais oublier si quelquefois après guerre a oeuvre secours parent franc tireurs tombés pendant guerre voudras bien occuper maman tout cela paraîtra humanité rappelleras parti comme franc tireur auvinet a lutté depuis octobre mar date laquelle fait prendre man embrasse tous bien fort faites petite mimi commence être grande fille femme intelligente instruite luttera vie comme lutterez aussi espère contre esclavage capitalistes contre exploitation homme homme embrasse tous compte gaby faire demande alex vive parti communiste vive ur vive france conserve cette lettre comme pièce conviction
"AYMONNIN Raymond, René, Eugène",spip.php?article149406&id_mot=10754,dernière lettre monsieur madame aymonnin larnod chers parent écris dernière fois h car recours grâce rejeté allons être fusillés faites trop chagrin conjure songez frère mort véritable français véritable chrétien juliette demande pardon avoir pris amour souhaite tout ur être heureuse autre quitte embrassant tous dernière fois bien tendrement reverrons ciel celui aime raymond
"BAJTSZTOK Chuna, Henri [dit Gilbert]",spip.php?article142923&id_mot=10754,laissa plusieurs lettres attention parent voisine amie madame lafosse ami daniel professeur monsieur peyreigne chaque lettre insistait fait regrettait gestes fier actes remerciait professeur bonne année doi grande partie remercier avoir essayé vain évidemment détourner cette voie où pressentiez voyais engageais demandait directeur école thiers raincy occupât activement jeune frère
BALBIN Szmul (Samuel),spip.php?article157626&id_mot=10754,dernière lettre cherche midi février écrite allemand tous mien parent ur frères beau frères belle ur enfants aujourd hui dernier jour vie monde réclame sacrifice temp venu beaucoup mien déjà payé vie aujourd hui tour devez pleurer devez avoir foi doit fois mourir jour mourrai pleine conscience courage pardonnez si fait mal mémoire bien faites face vie courage encore bon vivre portez bien merci fond ur tout fait dites merci cécile vivez pleinement schmul balbin
"BANCIC Olga [BANCIC Golda, dite Pierrette]",spip.php?article15575&id_mot=10754,olga bancic jeté travers fenêtre dernière lettre datée mai adressée fille pendant transfert prison stuttgart être exécutée note jointe adressée croix rouge précisait texte dont orthographe corrigée chère madame prie bien vouloir remettre cette lettre petite fille dolorès jacob après guerre dernier désir mère va vivre encore heures merci lettre adressée olga bancic fille dolorès chère petite fille cher petit amour mère écrit dernière lettre chère petite fille demain heures mai plus amour pleure mère pleure non plus meurs conscience tranquille toute conviction demain vie avenir plus heureux mère plus souffrir fière mère petit amour toujours image devant vais croire verras père espérance autre sort dis toujours pensé comme aime tout ur tous deux chers chère enfant père mère aussi aime beaucoup sentiras manque mère cher enfant finis lettre espérance heureuse toute vie père tout monde embrasse tout ur beaucoup beaucoup adieu amour mère
